Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	1	100	Song	CH	0	0.00758275
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	6	100	Song	CO	0	0.00268604
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	4	100	Song	CO	0	0.00402906
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	5	100	Song	CZ	0	0.01239954
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	27	100	Song	DE	0	0.08021417
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	82	100	Song	DE	0	0.26920036
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	9	100	Song	CZ	0	0.01402757
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	4	100	Song	DK	0	0.01821754
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	3	100	Song	EE	0	0.00916241
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	EE	0	0.00266185
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	9	100	Song	ES	0	0.02534175
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	10	100	Song	ES	0	0.01945539
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	19	100	Song	FR	0	0.05929166
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	3	100	Song	FI	0	0.01063479
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	4	100	Song	FI	0	0.02302801
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	29	100	Song	FR	0	0.09451623
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	3	100	Song	HK	0	0.00416578
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	6	100	Song	GR	0	0.01088719
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	2	100	Song	HK	0	0.00210655
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	7	100	Song	GR	0	0.01780632
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	4	100	Song	HU	0	0.00597470
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	2	100	Song	ID	0	0.00053321
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	IE	0	0.00288902
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	3	100	Song	ID	0	0.00055004
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	6	100	Song	IT	0	0.01211137
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	6	100	Song	IT	0	0.01559986
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	13	100	Song	JP	0	0.04151794
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	6	100	Song	JP	0	0.01241321
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	LU	0	0.00009255
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	1	100	Song	LU	0	0.00009255
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	4	100	Song	LT	0	0.01257517
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	3	100	Song	LV	0	0.00556244
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	LV	0	0.00158701
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	4	100	Song	ME	0	0.01306421
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	11	100	Song	MX	0	0.01201672
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	14	100	Song	MX	0	0.01098921
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	2	100	Song	NO	0	0.00928545
